CustomerID,Lookalikes
C0001,"[('C0152', 0.9993185557953671), ('C0160', 0.9646622803398666), ('C0118', 0.9416425874949189)]"
C0002,"[('C0029', 0.9955513590865488), ('C0192', 0.9824606718770172), ('C0086', 0.9719439019453344)]"
C0003,"[('C0036', 0.9807756633543862), ('C0177', 0.9767476899003708), ('C0144', 0.975820508679136)]"
C0004,"[('C0175', 0.9969460924622949), ('C0173', 0.9880005077624013), ('C0165', 0.9855822114426875)]"
C0005,"[('C0073', 0.9997021390313776), ('C0159', 0.999215291935641), ('C0112', 0.9970747875356132)]"
C0006,"[('C0066', 0.9619464754344282), ('C0185', 0.9409767018422867), ('C0064', 0.9244122230426502)]"
C0007,"[('C0193', 0.993550819250973), ('C0125', 0.9876396543864425), ('C0176', 0.9708789581515156)]"
C0008,"[('C0090', 0.9828639575747186), ('C0017', 0.9475523780080852), ('C0024', 0.936249895688621)]"
C0009,"[('C0077', 0.9965761438592466), ('C0097', 0.9827855160989675), ('C0094', 0.980120517538845)]"
C0010,"[('C0083', 0.9947455601969938), ('C0199', 0.9910551311872824), ('C0025', 0.9794206513578002)]"
C0011,"[('C0107', 0.9983595251850411), ('C0153', 0.937350243855309), ('C0023', 0.9244308855544529)]"
C0012,"[('C0046', 0.9925961642332118), ('C0136', 0.9919105601589894), ('C0126', 0.9840094163031241)]"
C0013,"[('C0143', 0.99994044107957), ('C0054', 0.9946179651592209), ('C0028', 0.9917336307111354)]"
C0014,"[('C0151', 0.9905776421935965), ('C0058', 0.9876095053630854), ('C0033', 0.9849793966479368)]"
C0015,"[('C0186', 0.9964331880402018), ('C0058', 0.9772291866822379), ('C0123', 0.9636687218847215)]"
C0016,"[('C0182', 0.9976706450176726), ('C0183', 0.9966230268085743), ('C0187', 0.9955702345383943)]"
C0017,"[('C0090', 0.9868399853160509), ('C0093', 0.9748693436320435), ('C0008', 0.9475523780080852)]"
C0018,"[('C0187', 0.9999808355397626), ('C0182', 0.9994485876787654), ('C0016', 0.9949696407930132)]"
C0019,"[('C0164', 0.9486503731739945), ('C0091', 0.9482020037598584), ('C0088', 0.936505391299752)]"
C0020,"[('C0110', 0.9947755213844984), ('C0167', 0.9900896754779598), ('C0078', 0.9861179647164399)]"
